RSSI1,RSSI2,RSSI3,RSSI4,Blok
-89,-88,-95,0,P1
-89,-89,-100,0,P1
-92,-90,-93,0,P1
-94,-91,-97,0,P1
-85,-89,0,0,P1
-85,-94,0,0,P1
-87,-91,0,0,P1
-86,-89,0,0,P1
-84,-88,0,0,P1
-85,-87,0,0,P1
-85,-90,0,0,P1
-85,-88,0,0,P1
-87,-88,0,0,P1
-85,-87,0,0,P1
-90,-88,0,0,P1
-85,-88,0,0,P1
-84,-88,0,0,P1
-84,-88,0,0,P1
-85,-85,0,0,P1
-85,-89,0,0,P1
-85,-89,0,0,P1
-86,-88,0,0,P1
-85,-90,0,0,P1
-85,-86,0,0,P1
-88,-88,0,0,P1
-89,-90,0,0,P1
-85,-87,0,0,P1
-84,-88,0,0,P1
-85,-90,0,0,P1
-84,-86,0,0,P1
-89,-87,0,0,P1
-87,-86,0,0,P1
-84,-87,0,0,P1
-85,-89,0,0,P1
-85,-88,0,0,P1
-90,-90,0,0,P1
-91,-86,0,0,P1
-85,-86,0,0,P1
-85,-87,0,0,P1
-86,-88,0,0,P1
-87,-88,0,0,P1
-85,-89,0,0,P1
-90,-87,0,0,P1
-85,-87,0,0,P1
-84,-89,0,0,P1
-87,-90,0,0,P1
-91,-89,0,0,P1
-85,-88,0,0,P1
-85,-87,0,0,P1
-84,-89,0,0,P1
-84,-88,0,0,P1
-89,-88,0,0,P1
-87,-91,0,0,P1
-85,-89,0,0,P1
-86,-87,0,0,P1
-89,-87,0,0,P1
-89,-85,0,0,P1
-87,-96,0,0,P1
-96,-84,0,0,P1
-88,-91,0,0,P1
-77,-86,0,0,P1
-83,-90,0,0,P1
-76,-92,0,0,P1
-83,-92,0,0,P1
-83,-93,0,0,P1
-77,-92,0,0,P1
-84,-91,0,0,P1
-81,-90,0,0,P1
-82,-89,0,0,P1
-82,-90,0,0,P1
-81,-90,0,0,P1
-79,-93,0,0,P1
-87,-91,0,0,P1
-79,-91,0,0,P1
-81,-90,0,0,P1
-85,-91,0,0,P1
-85,-90,0,0,P1
-83,-92,0,0,P1
-84,-89,0,0,P1
-84,-89,0,0,P1
-84,-88,0,0,P1
-82,-90,0,0,P1
-84,-90,0,0,P1
-83,-92,0,0,P1
-81,-89,0,0,P1
-84,-87,0,0,P1
-84,-91,0,0,P1
-84,0,0,0,P1
-84,-90,-92,0,P1
-77,-90,-96,0,P1
-85,-90,-96,0,P1
-77,-90,-96,0,P1
-81,-86,0,0,P1
-82,-91,0,0,P1
-83,-90,0,0,P1
-84,-89,0,0,P1
-77,-90,0,0,P1
-84,-90,0,0,P1
-84,-88,0,0,P1
-84,-89,0,0,P1
-82,-93,0,0,P1
